日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數,註記
109/01/02,"1,855,627","134,007,253",72.60,72.60,72.10,72.30,+0.20,"1,116",
109/01/03,"1,224,306","88,448,747",72.20,72.50,72.10,72.30, 0.00,732,
109/01/06,"2,323,436","167,349,667",72.00,72.20,71.90,72.00,-0.30,"1,062",
109/01/07,"2,122,724","152,693,582",72.00,72.20,71.70,72.00, 0.00,"1,038",
109/01/08,"4,545,844","325,117,403",71.80,71.80,71.30,71.50,-0.50,"2,132",
109/01/09,"6,280,562","446,594,175",71.50,71.70,71.00,71.00,-0.50,"3,676",
109/01/10,"4,703,988","333,928,727",71.00,71.70,70.80,71.40,+0.40,"2,366",
109/01/13,"4,174,505","295,854,300",71.40,71.40,70.50,71.20,-0.20,"2,259",
109/01/14,"3,921,170","277,796,705",70.70,71.30,70.60,70.90,-0.30,"2,258",
109/01/15,"4,710,275","332,347,269",70.70,70.70,70.30,70.70,-0.20,"3,036",
109/01/16,"4,657,751","328,318,281",70.70,70.70,70.30,70.30,-0.40,"2,793",
109/01/17,"3,735,061","263,713,233",70.20,70.90,70.20,70.90,+0.60,"2,433",
109/01/20,"2,937,050","207,807,450",70.70,71.00,70.50,70.70,-0.20,"1,558",
109/01/30,"8,732,721","602,418,634",69.00,69.90,68.70,69.00,-1.70,"4,966",
109/01/31,"5,143,017","354,137,076",69.00,69.40,68.60,68.60,-0.40,"2,639",
109/02/03,"5,922,436","399,746,662",68.50,68.60,66.60,67.80,-0.80,"3,117",
109/02/04,"4,765,869","322,757,340",67.30,68.50,67.20,67.90,+0.10,"2,739",
109/02/05,"3,824,199","258,165,132",67.60,67.90,67.30,67.60,-0.30,"1,949",
109/02/06,"6,385,387","431,663,016",67.40,67.90,67.40,67.70,+0.10,"2,484",
109/02/07,"4,598,647","308,398,066",67.50,67.50,66.90,67.00,-0.70,"2,606",
109/02/10,"3,257,657","218,623,057",66.90,67.40,66.70,67.40,+0.40,"1,460",
109/02/11,"2,195,125","148,074,450",67.10,67.70,67.10,67.40, 0.00,"1,342",
109/02/12,"4,411,048","296,017,617",67.10,67.40,67.00,67.00,-0.40,"2,780",
109/02/13,"2,944,575","198,590,393",67.00,67.80,67.00,67.20,+0.20,"1,521",
