日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數,註記
109/01/02,"33,814,248","1,464,297,553",43.00,44.40,42.50,42.75,+1.10,"16,012",
109/01/03,"12,268,841","513,932,075",42.80,42.90,41.10,41.25,-1.50,"6,303",
109/01/06,"7,974,964","320,007,890",40.80,40.80,39.80,39.90,-1.35,"4,350",
109/01/07,"5,807,584","230,647,660",40.20,40.40,39.25,39.65,-0.25,"3,130",
109/01/08,"7,013,817","278,546,270",39.85,40.20,39.20,39.20,-0.45,"3,934",
109/01/09,"3,041,512","120,600,272",39.75,39.95,39.40,39.40,+0.20,"1,708",
109/01/10,"3,746,503","147,119,890",39.60,39.75,39.10,39.15,-0.25,"2,060",
109/01/13,"2,961,767","117,440,535",39.50,39.85,39.30,39.70,+0.55,"1,772",
109/01/14,"2,808,833","112,559,083",39.95,40.20,39.90,40.10,+0.40,"1,655",
109/01/15,"2,252,122","89,956,777",40.10,40.10,39.75,40.00,-0.10,"1,315",
109/01/16,"2,523,229","101,040,959",40.10,40.20,39.95,40.00, 0.00,"1,168",
109/01/17,"2,706,515","107,932,700",40.20,40.25,39.75,39.75,-0.25,"1,306",
109/01/20,"1,942,364","77,520,010",39.80,40.00,39.80,40.00,+0.25,952,
109/01/30,"7,043,824","254,391,264",36.00,36.80,36.00,36.00,-4.00,"3,384",
109/01/31,"8,460,873","290,723,904",34.70,35.90,33.10,34.15,-1.85,"4,564",
109/02/03,"9,660,454","304,637,810",31.85,32.60,30.75,32.45,-1.70,"4,154",
109/02/04,"6,840,450","229,741,124",33.70,34.10,33.00,34.00,+1.55,"3,953",
109/02/05,"6,365,775","212,979,550",34.00,34.00,32.95,33.75,-0.25,"3,347",
109/02/06,"7,430,400","251,707,817",33.75,34.45,33.50,34.00,+0.25,"3,917",
109/02/07,"5,749,500","191,596,173",33.70,33.70,33.00,33.05,-0.95,"2,889",
109/02/10,"3,803,174","124,539,677",31.80,33.45,31.80,33.20,+0.15,"2,247",
109/02/11,"3,352,680","112,230,643",33.55,33.65,33.25,33.55,+0.35,"1,744",
109/02/12,"6,618,613","222,774,052",33.55,34.20,33.10,33.80,+0.25,"3,641",
109/02/13,"18,051,444","641,330,157",34.55,36.25,34.55,35.00,+1.20,"9,716",
109/02/14,"5,214,943","182,395,805",35.00,35.30,34.70,34.95,-0.05,"3,034",
109/02/17,"4,165,974","144,477,687",34.50,35.20,34.30,34.55,-0.40,"2,295",
109/02/18,"3,738,643","129,976,244",34.60,35.05,34.45,34.80,+0.25,"2,164",
109/02/19,"3,527,146","122,944,276",35.10,35.20,34.60,34.75,-0.05,"2,045",
109/02/20,"4,546,601","157,732,907",35.10,35.10,34.45,34.45,-0.30,"2,784",
109/02/21,"7,392,368","250,078,812",34.10,34.50,33.55,33.80,-0.65,"4,349",
109/02/24,"6,122,864","201,479,859",32.80,33.25,32.60,33.00,-0.80,"3,415",
109/02/25,"6,100,701","201,502,506",32.50,33.60,32.15,33.60,+0.60,"3,057",
109/02/26,"21,787,558","758,210,380",33.20,35.80,33.10,34.80,+1.20,"11,831",
109/02/27,"12,305,906","417,413,887",35.10,35.35,32.85,33.00,-1.80,"6,937",
109/03/02,"5,669,407","184,877,331",32.50,33.30,31.70,32.55,-0.45,"3,156",
109/03/03,"4,867,402","161,827,682",33.60,33.60,32.95,33.00,+0.45,"2,384",
109/03/04,"4,031,111","132,313,734",32.85,33.00,32.55,32.95,-0.05,"1,960",
109/03/05,"9,777,641","332,336,539",33.45,34.30,33.45,34.10,+1.15,"5,146",
109/03/06,"8,244,445","281,928,975",33.70,34.60,33.60,34.45,+0.35,"3,812",
109/03/09,"11,684,603","393,285,531",34.20,34.75,32.40,32.45,-2.00,"5,802",
109/03/10,"17,058,868","581,386,948",32.35,35.15,32.10,35.15,+2.70,"8,890",
109/03/11,"32,146,906","1,144,800,810",36.00,36.60,34.15,34.50,-0.65,"15,591",
109/03/12,"15,916,695","524,718,575",33.95,34.05,32.05,32.20,-2.30,"8,139",
109/03/13,"17,029,267","500,549,021",29.30,30.50,29.00,30.20,-2.00,"7,292",
109/03/16,"10,961,444","329,864,423",30.40,31.25,28.60,28.75,-1.45,"5,655",
109/03/17,"14,361,857","394,957,532",26.80,28.85,26.80,27.00,-1.75,"6,472",
109/03/18,"12,997,586","364,781,555",28.00,29.20,27.50,27.50,+0.50,"6,658",
109/03/19,"20,148,002","536,557,094",27.05,28.60,24.90,25.85,-1.65,"10,286",
109/03/20,"8,948,323","250,434,973",27.50,28.40,27.30,28.40,+2.55,"4,614",
109/03/23,"9,083,556","257,306,900",27.40,28.95,27.10,28.55,+0.15,"5,607",
109/03/24,"13,255,436","391,247,530",29.05,30.15,29.00,29.10,+0.55,"6,838",
109/03/25,"11,605,544","346,652,421",29.90,30.40,29.15,29.55,+0.45,"5,931",
109/03/26,"7,672,314","226,498,246",29.60,30.10,28.85,30.10,+0.55,"4,112",
109/03/27,"8,957,655","267,594,424",30.75,30.80,29.00,29.00,-1.10,"5,004",
109/03/30,"5,624,778","164,945,395",28.30,29.95,28.20,29.95,+0.95,"3,204",
109/03/31,"5,476,136","164,677,818",30.35,30.60,29.70,30.15,+0.20,"2,993",
109/04/01,"4,216,100","127,133,388",30.25,30.45,29.85,30.25,+0.10,"2,301",
109/04/06,"8,588,902","264,812,105",30.55,31.30,30.40,31.30,+1.05,"4,601",
109/04/07,"13,415,951","440,428,484",32.85,33.20,32.30,32.80,+1.50,"6,995",
109/04/08,"8,154,015","263,504,133",32.40,32.65,32.00,32.50,-0.30,"4,625",
109/04/09,"5,906,641","189,538,147",32.80,32.80,31.70,31.75,-0.75,"3,503",
109/04/10,"4,370,456","140,264,827",31.80,32.40,31.70,32.15,+0.40,"2,549",
109/04/13,"3,899,498","125,963,605",32.15,32.70,31.80,32.10,-0.05,"2,157",
109/04/14,"4,309,361","140,221,400",32.55,32.75,32.15,32.60,+0.50,"2,381",
109/04/15,"12,879,163","431,796,286",33.00,34.30,32.70,33.75,+1.15,"6,218",
109/04/16,"30,006,749","1,061,226,983",33.90,36.50,33.90,35.10,+1.35,"14,146",
109/04/17,"15,525,187","557,538,383",36.65,36.70,35.20,35.25,+0.15,"7,771",
109/04/20,"19,199,011","704,587,006",35.90,37.50,35.30,37.50,+2.25,"10,642",
109/04/21,"17,966,168","657,535,759",37.40,37.80,35.40,35.70,-1.80,"10,085",
109/04/22,"13,694,855","494,817,359",35.00,37.15,34.20,36.95,+1.25,"7,752",
109/04/23,"13,508,883","498,955,202",37.60,37.80,36.30,36.60,-0.35,"7,250",
109/04/24,"14,272,781","532,066,713",36.85,37.75,36.40,37.30,+0.70,"8,168",
109/04/27,"18,345,499","706,214,019",38.35,39.10,38.05,38.65,+1.35,"9,851",
109/04/28,"32,110,445","1,284,794,027",39.45,40.80,39.00,39.75,+1.10,"17,204",
109/04/29,"15,680,423","632,692,705",40.50,40.85,39.90,40.30,+0.55,"8,283",
109/04/30,"16,963,524","690,533,960",40.95,41.40,40.05,40.80,+0.50,"9,028",
109/05/04,"20,887,395","865,951,877",40.05,42.20,39.75,41.80,+1.00,"11,162",
109/05/05,"19,930,562","844,931,504",42.40,43.20,41.50,42.00,+0.20,"9,989",
109/05/06,"11,075,393","461,233,103",42.20,42.25,41.10,41.50,-0.50,"6,265",
109/05/07,"8,816,723","367,988,762",41.95,42.30,41.35,41.95,+0.45,"4,310",
109/05/08,"23,254,423","962,757,901",42.80,42.90,40.65,40.70,-1.25,"11,780",
109/05/11,"10,997,331","449,288,165",41.10,41.30,40.15,40.85,+0.15,"5,763",
109/05/12,"7,358,885","299,233,508",40.60,41.30,40.05,40.55,-0.30,"3,754",
109/05/13,"5,402,770","219,002,217",40.50,40.95,40.10,40.55, 0.00,"2,929",
109/05/14,"7,602,689","304,241,665",40.65,40.95,39.15,39.15,-1.40,"4,148",
109/05/15,"10,973,663","427,025,886",39.85,40.20,38.05,38.40,-0.75,"5,948",
109/05/18,"12,979,504","482,000,243",37.40,38.30,36.60,36.95,-1.45,"7,258",
109/05/19,"5,658,412","211,191,084",37.65,37.90,37.05,37.20,+0.25,"3,284",
109/05/20,"5,400,765","202,195,814",37.40,37.90,36.90,37.80,+0.60,"3,083",
109/05/21,"11,787,362","460,228,633",38.20,39.50,38.05,39.50,+1.70,"5,746",
109/05/22,"13,415,642","510,849,348",39.10,39.15,37.00,37.35,-2.15,"7,141",
109/05/25,"10,083,233","372,350,780",37.20,37.60,36.50,37.55,+0.20,"6,198",
109/05/26,"7,440,004","282,405,590",37.90,38.45,37.35,37.90,+0.35,"4,296",
109/05/27,"5,346,630","202,940,431",38.15,38.35,37.55,37.60,-0.30,"2,795",
109/05/28,"22,839,407","890,440,015",38.20,39.60,38.20,38.60,+1.00,"11,731",
