日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數,註記
109/01/02,"3,211,367","138,665,816",43.50,43.55,42.95,43.20,-0.45,"2,044",
109/01/03,"5,025,504","213,905,795",43.20,43.20,42.20,42.45,-0.75,"2,897",
109/01/06,"2,970,761","124,944,262",42.40,42.40,41.90,42.00,-0.45,"1,779",
109/01/07,"3,259,757","139,520,122",42.00,43.05,42.00,43.00,+1.00,"2,208",
109/01/08,"1,546,905","66,369,272",43.00,43.25,42.70,42.75,-0.25,947,
109/01/09,"1,931,609","82,384,157",42.50,43.00,42.25,42.95,+0.20,"1,278",
109/01/10,"1,194,941","51,218,413",42.95,43.00,42.65,43.00,+0.05,835,
109/01/13,"2,151,094","93,352,685",43.50,43.65,43.05,43.25,+0.25,"1,326",
109/01/14,"1,190,694","51,360,139",43.25,43.30,43.05,43.05,-0.20,862,
109/01/15,"1,259,874","54,245,974",43.10,43.30,42.80,42.85,-0.20,970,
109/01/16,"1,214,157","51,849,553",42.80,42.90,42.50,42.90,+0.05,892,
109/01/17,"875,086","37,569,398",43.00,43.10,42.80,43.00,+0.10,638,
109/01/20,"1,692,952","72,259,770",43.15,43.15,42.50,42.60,-0.40,"1,174",
109/01/30,"4,849,249","196,770,555",40.80,41.15,40.00,40.40,-2.20,"2,711",
109/01/31,"2,110,083","86,691,850",40.40,41.50,40.35,41.30,+0.90,"1,331",
109/02/03,"2,616,942","106,010,982",40.05,41.10,39.90,41.05,-0.25,"1,512",
109/02/04,"1,277,729","52,613,929",41.00,41.35,41.00,41.05, 0.00,959,
109/02/05,"1,658,714","68,059,670",41.10,41.50,40.90,41.05, 0.00,876,
109/02/06,"1,791,121","73,718,289",41.10,41.40,41.00,41.30,+0.25,"1,198",
109/02/07,"3,218,845","131,161,378",41.30,41.40,40.45,40.50,-0.80,"1,844",
109/02/10,"1,890,595","76,149,451",40.10,40.50,40.05,40.25,-0.25,"1,223",
109/02/11,"2,764,454","111,405,511",40.25,40.70,40.15,40.50,+0.25,"1,619",
109/02/12,"1,740,899","70,443,913",40.75,40.80,40.20,40.65,+0.15,"1,419",
109/02/13,"1,240,071","50,481,868",40.60,40.95,40.50,40.70,+0.05,950,
109/02/14,"996,085","40,641,202",40.70,40.90,40.65,40.75,+0.05,635,
109/02/17,"976,254","39,975,408",40.70,41.15,40.70,40.95,+0.20,659,
109/02/18,"2,696,615","112,244,711",40.95,42.40,40.95,41.45,+0.50,"1,657",
109/02/19,"1,485,236","61,464,755",41.45,41.65,41.10,41.45, 0.00,992,
109/02/20,"2,062,599","85,718,484",41.60,41.80,41.30,41.30,-0.15,798,
109/02/21,"1,961,340","80,777,540",41.40,41.45,40.90,40.95,-0.35,976,
109/02/24,"1,568,643","63,766,710",40.95,40.95,40.50,40.55,-0.40,"1,019",
109/02/25,"1,835,035","73,939,005",40.30,40.50,40.05,40.45,-0.10,"1,122",
109/02/26,"1,435,433","57,758,216",40.20,40.40,40.15,40.15,-0.30,862,
109/02/27,"1,207,216","48,561,883",40.25,40.35,40.10,40.30,+0.15,710,
109/03/02,"1,956,912","78,221,002",39.80,40.30,39.65,40.00,-0.30,"1,230",
109/03/03,"1,125,223","45,293,097",40.55,40.60,40.10,40.15,+0.15,851,
109/03/04,"1,281,472","51,230,680",40.15,40.15,39.90,40.00,-0.15,935,
109/03/05,"954,351","38,332,366",40.20,40.35,40.10,40.30,+0.30,698,
109/03/06,"1,289,398","51,639,496",40.30,40.30,40.00,40.05,-0.25,917,
109/03/09,"5,462,180","213,674,970",40.00,40.00,38.65,38.65,-1.40,"3,354",
109/03/10,"4,281,968","162,641,984",38.10,38.50,37.70,38.40,-0.25,"2,655",
109/03/11,"2,104,877","81,929,784",38.60,39.25,38.60,38.70,+0.30,"1,256",
109/03/12,"4,082,834","153,615,995",38.45,38.45,37.20,37.40,-1.30,"2,203",
109/03/13,"5,847,020","207,908,389",35.65,36.85,34.80,36.00,-1.40,"3,538",
109/03/16,"3,243,789","116,804,891",36.00,36.50,35.50,35.80,-0.20,"1,734",
109/03/17,"4,077,225","143,444,198",34.90,35.85,34.60,35.25,-0.55,"2,152",
109/03/18,"2,788,796","97,820,786",35.85,35.85,34.70,34.70,-0.55,"1,617",
109/03/19,"5,346,375","174,718,514",33.40,33.95,31.40,32.00,-2.70,"2,922",
109/03/20,"3,006,842","102,393,548",33.60,34.75,33.10,34.20,+2.20,"1,744",
109/03/23,"1,833,370","61,347,182",33.20,33.85,32.45,33.30,-0.90,"1,186",
109/03/24,"2,355,811","80,293,802",33.80,34.30,33.80,33.85,+0.55,"1,402",
109/03/25,"2,282,916","79,931,310",35.20,35.35,34.80,34.90,+1.05,"1,325",
109/03/26,"1,384,528","48,335,830",35.30,35.30,34.50,34.90, 0.00,873,
109/03/27,"2,319,437","81,694,955",35.30,35.40,35.10,35.10,+0.20,"1,043",
109/03/30,"3,746,842","135,796,674",34.75,37.35,34.30,36.50,+1.40,"2,272",
109/03/31,"4,987,188","186,821,530",37.25,38.15,36.80,36.95,+0.45,"3,076",
109/04/01,"3,857,664","143,678,571",37.00,37.85,36.70,36.95, 0.00,"2,251",
109/04/06,"2,519,462","93,043,026",37.15,37.20,36.55,37.05,+0.10,"1,354",
109/04/07,"3,023,924","112,382,301",37.45,37.55,36.95,37.05, 0.00,"1,868",
109/04/08,"2,486,780","92,536,980",37.10,37.45,37.00,37.15,+0.10,"1,254",
109/04/09,"1,905,792","71,384,069",37.40,37.60,37.30,37.50,+0.35,"1,053",
109/04/10,"1,962,446","73,942,190",37.60,37.95,37.50,37.80,+0.30,"1,193",
109/04/13,"1,873,977","70,606,768",37.85,37.90,37.35,37.65,-0.15,"1,225",
109/04/14,"3,049,048","116,567,689",37.60,38.50,37.60,38.45,+0.80,"1,546",
109/04/15,"4,357,017","171,635,738",38.60,39.75,38.60,39.70,+1.25,"2,238",
109/04/16,"2,608,594","102,612,229",39.30,39.50,39.00,39.40,-0.30,"1,536",
109/04/17,"3,624,985","142,102,265",39.50,39.70,38.80,38.80,-0.60,"2,027",
109/04/20,"2,393,139","94,118,151",38.90,39.60,38.90,39.45,+0.65,"1,477",
109/04/21,"2,199,951","85,625,389",39.60,39.60,38.55,38.65,-0.80,"1,337",
109/04/22,"1,477,395","56,618,760",38.40,38.70,37.95,38.55,-0.10,862,
109/04/23,"2,275,748","89,266,521",39.00,39.45,38.80,39.30,+0.75,"1,297",
109/04/24,"4,078,843","162,239,727",39.50,40.15,39.40,39.80,+0.50,"1,923",
109/04/27,"2,393,554","95,394,627",39.80,40.00,39.55,39.90,+0.10,"1,426",
109/04/28,"3,884,493","156,973,006",40.05,40.70,39.95,40.70,+0.80,"2,201",
109/04/29,"6,206,674","257,822,997",41.10,42.05,40.90,41.45,+0.75,"3,482",
109/04/30,"3,825,856","158,352,448",41.65,41.75,41.10,41.45, 0.00,"2,241",
109/05/04,"2,236,253","91,418,070",41.05,41.05,40.60,40.85,-0.60,"1,425",
109/05/05,"5,330,717","222,578,483",41.00,42.00,41.00,41.95,+1.10,"3,153",
109/05/06,"3,930,114","164,917,569",42.25,42.50,41.50,41.50,-0.45,"2,509",
109/05/07,"2,699,177","113,531,622",41.70,42.30,41.55,42.25,+0.75,"1,703",
109/05/08,"6,101,202","261,871,898",42.50,43.40,42.25,43.35,+1.10,"3,652",
109/05/11,"4,028,211","172,786,373",43.20,43.25,42.55,43.00,-0.35,"2,775",
109/05/12,"4,957,650","208,529,507",42.85,42.85,41.50,42.15,-0.85,"3,217",
109/05/13,"2,153,540","90,586,689",41.80,42.50,41.55,42.35,+0.20,"1,323",
109/05/14,"3,781,964","160,942,864",42.30,43.00,41.90,41.90,-0.45,"2,442",
109/05/15,"4,345,805","185,839,124",42.60,43.15,42.00,42.80,+0.90,"2,564",
109/05/18,"6,341,017","277,289,089",43.15,44.10,43.15,43.90,+1.10,"3,884",
109/05/19,"8,099,522","361,322,868",44.50,44.95,43.80,44.80,+0.90,"5,211",
109/05/20,"4,384,666","193,396,398",44.75,44.90,43.80,43.85,-0.95,"2,713",
109/05/21,"2,566,624","112,951,246",43.40,44.25,43.40,44.00,+0.15,"1,813",
109/05/22,"2,784,163","120,969,631",43.90,44.00,43.15,43.20,-0.80,"1,601",
109/05/25,"3,563,273","157,402,540",43.20,44.45,43.20,44.25,+1.05,"2,506",
109/05/26,"2,844,278","126,218,516",44.45,44.80,44.10,44.20,-0.05,"1,654",
109/05/27,"1,659,772","73,422,068",44.40,44.55,44.10,44.15,-0.05,988,
109/05/28,"2,094,126","91,985,480",44.15,44.50,43.75,43.75,-0.40,"1,207",
109/05/29,"2,427,317","105,302,144",43.55,44.00,43.00,43.00,-0.75,"1,163",
109/06/01,"2,147,514","93,806,236",43.30,43.95,43.30,43.70,+0.70,"1,396",
109/06/02,"882,483","38,620,066",44.00,44.00,43.50,43.80,+0.10,726,
109/06/03,"1,974,429","86,601,476",43.80,44.10,43.65,44.10,+0.30,"1,180",
109/06/04,"1,361,386","60,020,151",44.20,44.20,43.90,44.15,+0.05,894,
109/06/05,"2,535,804","111,926,431",44.15,44.35,43.90,44.20,+0.05,"1,319",
109/06/08,"3,661,872","160,105,963",44.45,44.45,43.30,43.80,-0.40,"2,391",
109/06/09,"2,434,363","105,986,030",43.80,43.90,43.35,43.55,-0.25,"1,270",
109/06/10,"2,387,386","103,854,519",43.20,43.65,43.20,43.55, 0.00,"1,114",
